RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	ADM2	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME	FULL_NAME	FULL_NAME_ND	MODIFY_DATE
1	-2147366	-2977325	50.866667	6.066667	505200	60400	32UKB9359839098	NM32-04	A	ADM2		NL	05					V				HOLZKERKRADE	Holz-Kerkrade	Holz-Kerkrade	2001-11-16
1	-2152189	-2984388	52.183333	4.666667	521100	44000	31UFT1394682739	NN31-12	A	ADM2		NL	11					N		(( Rijnsaterwoude ))	Gemeente	GEMEENTERIJNSATERWOUDE	Gemeente )) (( Rijnsaterwoude	Gemeente )) (( Rijnsaterwoude	2007-02-14
1	-2153714	-2986281	52.35	6.783333	522100	64700	32ULD4902402280	NN32-10	H	STM		NL	15					N				STROOTMANSBEEK	Strootmansbeek	Strootmansbeek	1994-01-08
1	-2154140	-2986877	50.833333	5.95	505000	55700	31UGS0772335439	NM31-06	P	PPL		NL	05					N				TRINTELEN	Trintelen	Trintelen	1994-01-08
1	-2155699	-2988783	53.233333	6.266667	531400	61600	32ULE1757501714	NN32-07	T	PLDR		NL	04					N				WESTZANDEMERMOLENPOLDER	Westzandemermolenpolder	Westzandemermolenpolder	1994-01-08
1	-2140283	-2969433	52.016667	5	520100	50000	31UFT3724364780	NN31-12	H	CNL		NL	09					N				ACHTERWETERINGZUIDZIJDE	Achterwetering Zuidzijde	Achterwetering Zuidzijde	1994-01-08
1	-2145884	-2976552	52.35	5.8	522100	54800	31UFU9070003658	NN31-12	L	PRK		NL	03					N				HENDRIKSZAND	Hendrikszand	Hendrikszand	1994-01-08
1	-2141794	-2985595	51.933333	6.333333	515600	62000	32ULC1667656983	NM32-01	H	STM		NL	00					V				SLINGERBEEK	Slingerbeek	Slingerbeek	1994-04-28
1	-2141794	-2969270	51.933333	6.333333	515600	62000	32ULC1667656983	NM32-01	H	STM		NL	00					V				AALTENSCHESLINGE	Aaltensche Slinge	Aaltensche Slinge	1994-04-28
1	63867	79811	53.35	5.183333	532100	51100	31UFV4532713428	NN31-09	L	LCTY		NL	02					N				NOORDVAARDER	Noordvaarder	Noordvaarder	1997-08-21
1	-2153672	-2986228	51.9	4.733333	515400	44400	31UFT1925551336	NM31-03	A	ADM2		NL	11					N		(( Streefkerk ))	Gemeente	GEMEENTESTREEFKERK	Gemeente )) (( Streefkerk	Gemeente )) (( Streefkerk	2007-02-14
1	-2148825	-2980241	52.283333	6.433333	521700	62600	32ULC2492695655	NN32-10	P	PPL		NL	15					N				LOOK	Look	Look	1994-01-08
1	-2148807	-2976789	51.933333	5.983333	515600	55900	31UGT0508957829	NM31-03	P	PPL		NL	03					V				HETLOO	Het Loo	Het Loo	1994-01-08
1	-2156535	-2989829	52.5	4.866667	523000	45200	31UFU2670918290	NN31-12	H	CNL		NL	07					N				ZUIDERGANSSLOOT	Zuiderganssloot	Zuiderganssloot	1994-01-08
1	-2149136	-2980630	52.55	4.783333	523300	44700	31UFU2091623708	NN31-12	H	CNL		NL	07					N				MARKERVAART	Markervaart	Markervaart	1994-01-08
1	-2147432	-2978564	51.433333	4.966667	512600	45800	31UFS3670599850	NM31-03	S	EST		NL	06					N				LANDGOEDDEKIEVIT	Landgoed de Kievit	Landgoed de Kievit	1994-01-08
1	-2140760	-2969968	53.166667	5.633333	531000	53800	31UFU7602594050	NN31-09	P	PPL		NL	02					V				BAAIJUM	Baaijum	Baaijum	1994-01-08
1	-2152314	-2984547	51.566667	4.25	513400	41500	31UET8663813584	NM31-03	P	PPL		NL	06					N				ROLAF	Rolaf	Rolaf	1994-01-08
1	-2140834	-2970140	51.7	3.583333	514200	33500	31UET4031327833	NM31-02	H	SHOL		NL	10					N				BANJAARD	Banjaard	Banjaard	1994-01-08
1	-2145713	-2976349	51.4	5.25	512400	51500	31UFS5651196710	NM31-03	L	LCTY		NL	06					N				HEIEIND	Heieind	Heieind	1994-01-08
1	-2140191	-2969321	53.066667	6.75	530400	64500	32ULD4924582053	NN32-07	L	LCTY		NL	01					N				AASVENEN	Aasvenen	Aasvenen	1994-01-08
1	-2142113	-2975691	51.25	5.583333	511500	53500	31UFS8028280797	NM31-03	P	PPL		NL	06					V				GROOTSCHOOT	Groot Schoot	Groot Schoot	1994-01-08
1	-2145796	-2976455	53.283333	6.516667	531700	63100	32ULE3445006666	NN32-07	P	PPL		NL	04					N				HEKKUM	Hekkum	Hekkum	1994-01-08
1	-2146838	-2977814	51.383333	5.183333	512300	51100	31UFS5193094717	NM31-03	P	PPL		NL	06					N				HULSEL	Hulsel	Hulsel	1994-01-08
1	-2150390	-2982121	51.283333	5.766667	511700	54600	31UFS9293584969	NM31-03	H	CNL		NL	05					V				NOORDERKANAAL	Noorderkanaal	Noorderkanaal	1994-01-08
1	-2151881	-2983995	52.516667	4.95	523100	45700	31UFU3231520293	NN31-12	P	PPL		NL	07					N				PURMEREND	Purmerend	Purmerend	1994-01-08
1	-2151096	-2983039	51.9	4.883333	515400	45300	31UFT2957451592	NM31-03	P	PPL		NL	11					N				OTTOLAND	Ottoland	Ottoland	1994-01-08
1	-2155670	-2988751	52.616667	4.9	523700	45400	31UFU2863031324	NN31-12	P	PPL		NL	07					N				WESTMIJZEN	Westmijzen	Westmijzen	1994-01-08
1	-2156118	-2989298	52.983333	5.45	525900	52700	31UFU6447073225	NN31-12	P	PPL		NL	02					N				WORKUM	Workum	Workum	1994-01-08
1	-2155180	-2988160	51.816667	5.266667	514900	51600	31UFT5623343077	NM31-03	A	ADM2		NL	03					N		(( Waardenburg ))	Gemeente	GEMEENTEWAARDENBURG	Gemeente )) (( Waardenburg	Gemeente )) (( Waardenburg	2007-02-14
1	168738	209708	51.547222	3.461111	513250	32740	31UET3197410782	NM31-02	T	DUNE		NL	10					N			Duin	KLINKERDUIN	Klinkerduin	Klinkerduin	1996-05-02
1	-2140458	-2969666	51.933333	4.816667	515600	44900	31UFT2489555182	NM31-03	P	PPL		NL	11					N				AMMERSTOL	Ammerstol	Ammerstol	1994-01-08
1	-2155473	-2988523	51.433333	4.633333	512600	43800	31UFS1353699280	NM31-03	P	PPL		NL	06					N				WERNHOUTSBRUG	Wernhoutsbrug	Wernhoutsbrug	1994-01-08
1	-2143036	-2972913	52.133333	4.416667	520800	42500	31UET9696376814	NN31-12	P	PPL		NL	11					N				DENDEIJL	Den Deijl	Den Deijl	1994-01-08
1	-2148496	-2979814	52.133333	6.233333	520800	61400	32ULC1065079478	NN32-10	P	PPL		NL	03					N				LEESTEN	Leesten	Leesten	1994-01-08
1	-2150722	-2982887	51.866667	5.933333	515200	55600	31UGT0195250277	NM31-03	P	PPL		NL	03					V				OOY	Ooy	Ooy	1994-01-08
1	-2150561	-2982369	52.85	6.783333	525100	64700	32ULD5073457886	NN32-10	P	PPL		NL	01					N				ODOORNERVEEN	Odoornerveen	Odoornerveen	1994-01-08
1	-2156803	-2990144	52.866667	6.583333	525200	63500	32ULD3733060174	NN32-10	P	PPL		NL	01					N				ZWIGGELTE	Zwiggelte	Zwiggelte	1994-01-08
1	356620	443781	51.366667	4.25	512200	41500	31UES8701791342	NM31-03	H	STM		NL	00					V				LESCAUT	L’ Escaut	L' Escaut	1997-12-17
1	-2143665	-2973761	52.05	4.8	520300	44800	31UFT2342868128	NN31-12	P	PPL		NL	11					N				DRIEBRUGGEN	Driebruggen	Driebruggen	1994-01-08
1	-2149470	-2981027	51.466667	5.633333	512800	53800	31UFT8290605011	NM31-03	P	PPL		NL	06					N				MIERLOHOUT	Mierlo-Hout	Mierlo-Hout	1994-01-08
1	-2153382	-2985883	52.083333	4.7	520500	44200	31UFT1648571670	NN31-12	P	PPL		NL	11					N				SPOELWIJK	Spoelwijk	Spoelwijk	1994-01-08
1	-2146488	-2977376	51.366667	3.65	512200	33900	31UES4525090801	NM31-02	T	PLDR		NL	10					N				HOOFDPLAATPOLDER	Hoofdplaatpolder	Hoofdplaatpolder	1994-01-08
1	-2152233	-2984444	51.233333	5.6	511400	53600	31UFS8151178985	NM31-03	H	LKS		NL	06					N				RINGSELVEN	Ringselven	Ringselven	1994-01-08
1	-2144580	-2974906	51.416667	4.1	512500	40600	31UES7649296736	NM31-03	P	PPL		NL	10					N				GAWEGE	Gawege	Gawege	1994-01-08
1	-2142308	-2971930	51.5	4.866667	513000	45200	31UFT2956507081	NM31-03	A	ADM2		NL	06					H		Chaam	Gemeente	GEMEENTECHAAM	Gemeente Chaam	Gemeente Chaam	2007-02-14
1	-2145327	-2975787	51.716667	5.016667	514300	50100	31UFT3931131451	NM31-03	P	PPL		NL	06					V				HAAGOORD	Haagoord	Haagoord	1994-01-08
1	-2152848	-2985223	51.3	4.066667	511800	40400	31UES7436383727	NM31-03	P	PPL		NL	10					N				SCHUDDEBEURS	Schuddebeurs	Schuddebeurs	1994-01-08
1	-2145357	-2975926	51.416667	4.816667	512500	44900	31UFS2632597727	NM31-03	L	LCTY		NL	06					N				HALSCHEBEEMDEN	Halsche Beemden	Halsche Beemden	1994-01-08
1	-2150270	-2982016	52.616667	6.416667	523700	62500	32ULD2511632763	NN32-10	S	FRM		NL	01					N				NOLDERHOEVE	Nolderhoeve	Nolderhoeve	1994-01-08
1	-2140160	-2969281	51.05	5.95	510300	55700	31UGS0675959526	NM31-03	P	PPL		NL	05					N				AANDEPOPELAAR	Aan de Popelaar	Aan de Popelaar	1994-01-08
1	-2145821	-2980987	51.666667	4.383333	514000	42300	31UET9566824871	NM31-03	H	CHNM		NL	00					V				MIDDENHELLEGAT	Midden Hellegat	Midden Hellegat	1994-01-08
1	-2144867	-2975299	51.533333	4.716667	513200	44300	31UFT1906810533	NM31-03	H	STM		NL	06					N				GOUDBERGSCHELEIJ	Goudbergsche Leij	Goudbergsche Leij	1994-01-08
1	-2144738	-2975110	51.533333	6.05	513200	60300	32UKC9540213262	NM32-01	V	HTH		NL	05					N				GEYSTERENDERHEIDE	Geysterenderheide	Geysterenderheide	1994-01-08
1	-2151019	-2982948	53.316667	6.883333	531900	65300	32ULE5900009587	NN32-07	P	PPL		NL	04					N				OPWIERDE	Opwierde	Opwierde	1994-01-08
1	-2151019	-2982947	53.316667	6.883333	531900	65300	32ULE5900009587	NN32-07	P	PPL		NL	04					V				OPWIERDA	Opwierda	Opwierda	1994-01-08
1	-2152893	-2985280	51.6	5.316667	513600	51900	31UFT6044419093	NM31-03	P	PPL		NL	06					N				SELISSEN	Selissen	Selissen	1994-01-08
1	-2150041	-2981741	53.183333	7.2	531100	71200	32ULD7971994178	NN32-07	A	ADM2		NL	04					N		(( Nieuweschans ))	Gemeente	GEMEENTENIEUWESCHANS	Gemeente )) (( Nieuweschans	Gemeente )) (( Nieuweschans	2007-02-14
1	-2154260	-2989415	51.816667	4.966667	514900	45800	31UFT3555742477	NM31-03	P	PPL		NL	06					V				ZAND	Zand	Zand	1994-01-08
1	-2143079	-2972980	52.283333	5.75	521700	54500	31UFT8757796114	NN31-12	S	FRM		NL	03					N				DENNENHOEVE	Dennenhoeve	Dennenhoeve	1994-01-08
1	-2145396	-2975974	52.433333	6.433333	522600	62600	32ULD2551812335	NN32-10	P	PPL		NL	15					N				HANKATE	Hankate	Hankate	1994-01-08
1	-2143768	-2973885	51.816667	5.95	514900	55700	31UGT0332444764	NM31-03	T	HLL		NL	03					N				DUIVELSBERG	Duivelsberg	Duivelsberg	1994-01-08
1	-2154609	-2987468	51.3	3.633333	511800	33800	31UES4415383377	NM31-02	P	PPL		NL	10					N				VELDZICHT	Veldzicht	Veldzicht	1994-01-08
1	-2156288	-2989520	51.616667	3.9	513700	35400	31UET6231118788	NM31-02	S	BDG		NL	10					V				ZEELANDBRUGBRIDGE	Zeelandbrug Bridge	Zeelandbrug Bridge	1994-01-08
1	-2152936	-2985331	51.5	3.816667	513000	34900	31UET5668705745	NM31-02	P	PPL		NL	10					N				SHEERARENDSKERKE	’s-Heer-Arendskerke	's-Heer-Arendskerke	1994-01-08
1	-2149575	-2981156	53.066667	6.433333	530400	62600	32ULD2803182767	NN32-07	T	DUNE		NL	01					N				MOLENDUINEN	Molenduinen	Molenduinen	1994-01-08
1	-2153586	-2986127	52.666667	6.75	524000	64500	32ULD4785237567	NN32-10	H	CNL		NL	01					N				STIELTJESKANAAL	Stieltjeskanaal	Stieltjeskanaal	1994-01-08
1	-2155159	-2988130	52.016667	5.15	520100	50900	31UFT4753565074	NN31-12	T	PLDR		NL	09					N				POLDERVUYLCOP	Polder Vuylcop	Polder Vuylcop	1994-01-08
1	-2154081	-2986798	51.583333	5.3	513500	51800	31UFT5934817204	NM31-03	P	PPL		NL	06					N				TONGEREN	Tongeren	Tongeren	1994-01-08
1	-2150756	-2982626	53.416667	6.083333	532500	60500	32ULE0617522586	NN32-07	A	ADM2		NL	02					N		(( Oostdongeradeel ))	Gemeente	GEMEENTEOOSTDONGERADEEL	Gemeente )) (( Oostdongeradeel	Gemeente )) (( Oostdongeradeel	2007-02-14
1	-2146380	-2977254	52.316667	5.133333	521900	50800	31UFT4541098403	NN31-12	S	BDG		NL	00					N				HOLLANDSEBRUG	Hollandsebrug	Hollandsebrug	1994-01-08
1	-2141445	-2970883	51.383333	6.1	512300	60600	32UKB9820996446	NM32-01	V	HTH		NL	05					V				BLERICKSCHEHEIDE	Blericksche Heide	Blericksche Heide	1994-01-08
